Apellido Paterno,Apellido Materno,Nombre,Fecha de Registro,Actividad,Código Cliente,Código Segmento,Estado,DNI,Fraude,Sigla
López,Fernández,Carlos,2023-09-24,Agricultor,C000529,A,Activo,89424160,Fraude 2,BSO
González,Sánchez,Elena,2021-02-16,Comerciante,C000530,A,Suspendido,48689527,Fraude 8,PCO
López,Pérez,Andrés,2024-04-30,Docente,C000531,E,Activo,67550643,Fraude 35,BPR
Pérez,Rodríguez,Luis,2023-06-23,Comerciante,C000532,D,Inactivo,19885570,Fraude 89,BPR
López,Martínez,Sofía,2020-06-02,Comerciante,C000533,A,Suspendido,73743473,Fraude 80,BSO
Gómez,González,Luis,2023-03-06,Independiente,C000534,A,Suspendido,36753740,Fraude 91,BFO
Fernández,Fernández,Juan,2023-02-27,Independiente,C000535,D,Inactivo,90674220,Fraude 84,PCO
Pérez,Gómez,Andrés,2023-07-16,Independiente,C000536,E,Suspendido,20535630,Fraude 36,VL1
Pérez,Rodríguez,Sofía,2024-09-10,Empleado,C000537,E,Suspendido,68753243,Fraude 41,BFO
Fernández,González,Elena,2020-11-21,Empresario,C000538,D,Activo,44885698,Fraude 29,VL1
Fernández,Rodríguez,Valeria,2024-10-16,Independiente,C000539,C,Activo,78785342,Fraude 71,BSO
Ramírez,Rodríguez,Miguel,2024-08-24,Comerciante,C000540,B,Suspendido,10468910,Fraude 56,VL1
Fernández,Ramírez,Juan,2024-01-26,Comerciante,C000541,A,Activo,40062417,Fraude 84,PEF
Martínez,Rodríguez,Andrés,2023-04-18,Empleado,C000542,A,Inactivo,38639616,Fraude 88,BSO
Díaz,Rodríguez,Valeria,2021-05-25,Agricultor,C000543,D,Activo,31872510,Fraude 20,PEF
Sánchez,Martínez,Sofía,2020-05-29,Agricultor,C000544,B,Inactivo,39061173,Fraude 89,PCO
Gómez,Díaz,Ana,2021-06-05,Estudiante,C000545,D,Inactivo,68859955,Fraude 81,VL1
González,Ramírez,María,2020-06-18,Empresario,C000546,C,Activo,20097136,Fraude 48,BFO
Sánchez,Gómez,Andrés,2023-03-14,Docente,C000547,B,Inactivo,97939269,Fraude 27,PCO
López,López,Luis,2020-11-22,Comerciante,C000548,C,Activo,45090226,Fraude 56,PEF
González,Rodríguez,Miguel,2022-09-09,Docente,C000549,B,Activo,23787089,Fraude 69,PCO
Sánchez,Ramírez,Sofía,2023-05-06,Empleado,C000550,A,Suspendido,43605128,Fraude 15,BFO
Ramírez,González,Elena,2022-01-09,Agricultor,C000551,A,Activo,72060178,Fraude 33,BSO
López,López,Miguel,2021-12-04,Independiente,C000552,B,Activo,47025800,Fraude 49,VL1
González,Rodríguez,Andrés,2023-10-13,Empresario,C000553,B,Inactivo,60763424,Fraude 10,PCO
González,Rodríguez,Juan,2023-08-24,Agricultor,C000554,E,Suspendido,53405091,Fraude 99,BFO
González,Gómez,Sofía,2020-11-15,Empleado,C000555,C,Suspendido,23202305,Fraude 44,BPR
Gómez,González,Valeria,2023-03-20,Independiente,C000556,B,Inactivo,76398375,Fraude 65,VL1
González,Fernández,Andrés,2021-12-07,Comerciante,C000557,D,Suspendido,25655706,Fraude 80,PCO
Sánchez,Ramírez,Valeria,2022-03-01,Agricultor,C000558,A,Inactivo,33441230,Fraude 52,VL1
Ramírez,López,Valeria,2022-11-16,Empresario,C000559,E,Activo,28517395,Fraude 99,BFO
González,Rodríguez,Ana,2022-04-14,Docente,C000560,D,Activo,59415891,Fraude 1,BPR
Fernández,Díaz,María,2022-09-03,Comerciante,C000561,B,Activo,92115368,Fraude 16,BFO
Pérez,Gómez,Ana,2021-02-26,Empresario,C000562,E,Inactivo,66795816,Fraude 62,VL1
González,Martínez,Valeria,2023-05-22,Agricultor,C000563,D,Suspendido,12026833,Fraude 45,VL1
Sánchez,Pérez,Juan,2021-05-08,Agricultor,C000564,B,Inactivo,74089860,Fraude 56,BSO
Rodríguez,González,Carlos,2020-05-12,Empresario,C000565,E,Activo,82911808,Fraude 88,PCO
Gómez,Díaz,Juan,2022-02-12,Independiente,C000566,C,Inactivo,60314690,Fraude 5,BFO
Fernández,Martínez,Elena,2021-11-10,Agricultor,C000567,A,Suspendido,48399271,Fraude 78,BFO
Ramírez,Sánchez,Luis,2020-04-24,Empresario,C000568,B,Inactivo,98581856,Fraude 78,BSO
Martínez,Martínez,Carlos,2020-11-13,Docente,C000569,D,Activo,39764094,Fraude 58,PEF
Rodríguez,Díaz,Elena,2022-03-15,Comerciante,C000570,C,Suspendido,54985729,Fraude 92,BFO
Pérez,González,Miguel,2024-04-13,Agricultor,C000571,A,Activo,52438788,Fraude 38,BFO
Ramírez,Sánchez,María,2022-03-22,Comerciante,C000572,D,Activo,63723322,Fraude 46,PCO
Fernández,Martínez,Juan,2021-01-10,Independiente,C000573,E,Activo,41094117,Fraude 74,BFO
Ramírez,Ramírez,Miguel,2020-08-18,Comerciante,C000574,D,Suspendido,10458446,Fraude 60,PEF
Pérez,Díaz,Carlos,2024-09-04,Independiente,C000575,D,Activo,95427670,Fraude 50,PEF
López,González,Luis,2024-04-25,Estudiante,C000576,B,Inactivo,95050189,Fraude 42,PEF
Sánchez,Rodríguez,Miguel,2023-12-25,Independiente,C000577,E,Suspendido,20975674,Fraude 44,BSO
Martínez,Díaz,Luis,2020-12-16,Empleado,C000578,B,Suspendido,48171135,Fraude 73,BFO
Martínez,Fernández,María,2021-04-08,Empleado,C000579,A,Inactivo,87236811,Fraude 43,VL1
López,Sánchez,Carlos,2023-07-24,Docente,C000580,A,Suspendido,32344033,Fraude 52,VL1
Ramírez,Martínez,Sofía,2024-12-25,Empresario,C000581,D,Suspendido,59342615,Fraude 25,PCO
Sánchez,Martínez,Ana,2022-02-23,Empleado,C000582,E,Activo,30688171,Fraude 14,BPR
Fernández,Pérez,Sofía,2021-04-08,Agricultor,C000583,E,Inactivo,43365015,Fraude 24,PCO
Pérez,Ramírez,Luis,2021-10-29,Estudiante,C000584,E,Activo,54664040,Fraude 17,VL1
Sánchez,López,Luis,2021-12-31,Estudiante,C000585,C,Suspendido,99232360,Fraude 12,BSO
Fernández,González,Sofía,2021-06-18,Estudiante,C000586,A,Activo,13801086,Fraude 79,BSO
Rodríguez,Gómez,Sofía,2022-05-04,Agricultor,C000587,D,Inactivo,68427162,Fraude 39,BFO
González,Ramírez,Andrés,2020-09-27,Estudiante,C000588,D,Suspendido,29523252,Fraude 73,VL1
Pérez,Rodríguez,Juan,2022-10-04,Empleado,C000589,A,Activo,15734805,Fraude 75,BSO
López,López,María,2022-03-10,Agricultor,C000590,D,Activo,65626806,Fraude 97,PEF
González,López,Andrés,2021-09-18,Comerciante,C000591,B,Suspendido,70269276,Fraude 70,PEF
Rodríguez,Gómez,Sofía,2024-06-12,Empresario,C000592,A,Inactivo,72268860,Fraude 62,BPR
Sánchez,López,Miguel,2020-10-03,Empresario,C000593,C,Suspendido,15114093,Fraude 94,BSO
Díaz,Martínez,Miguel,2024-12-05,Comerciante,C000594,A,Suspendido,92655516,Fraude 40,BFO
Pérez,López,Juan,2021-06-11,Empresario,C000595,D,Inactivo,52395167,Fraude 19,PCO
López,Ramírez,Andrés,2021-10-26,Comerciante,C000596,D,Activo,71637195,Fraude 3,PEF
López,Ramírez,Ana,2020-07-25,Independiente,C000597,E,Activo,63716973,Fraude 100,BPR
Fernández,López,Valeria,2024-02-25,Docente,C000598,D,Inactivo,62452601,Fraude 96,PCO
Díaz,Ramírez,Carlos,2022-09-03,Empleado,C000599,B,Suspendido,97571964,Fraude 34,BSO
Rodríguez,Ramírez,Luis,2021-10-09,Comerciante,C000600,B,Inactivo,78317071,Fraude 71,BSO
Pérez,Rodríguez,Miguel,2021-07-21,Docente,C000601,B,Inactivo,40306237,Fraude 47,PEF
Martínez,Sánchez,Carlos,2023-04-03,Agricultor,C000602,E,Inactivo,44615641,Fraude 20,PCO
Pérez,González,Sofía,2021-12-05,Agricultor,C000603,E,Suspendido,72598799,Fraude 74,BSO
Pérez,Ramírez,Ana,2024-06-21,Agricultor,C000604,A,Activo,11133037,Fraude 80,PEF
Gómez,Gómez,María,2021-10-23,Empleado,C000605,C,Activo,41357403,Fraude 55,PEF
González,Fernández,Andrés,2023-11-10,Empresario,C000606,B,Suspendido,83710422,Fraude 27,BFO
López,González,María,2023-10-21,Empleado,C000607,A,Activo,43080749,Fraude 5,BSO
Gómez,Sánchez,Juan,2023-02-16,Estudiante,C000608,B,Activo,44438297,Fraude 77,PCO
González,Gómez,Luis,2022-03-26,Docente,C000609,E,Inactivo,19039143,Fraude 6,BPR
Pérez,Ramírez,María,2021-06-10,Estudiante,C000610,E,Inactivo,45035513,Fraude 26,PCO
González,Fernández,Juan,2023-02-06,Empleado,C000611,D,Activo,66248006,Fraude 11,VL1
Rodríguez,Rodríguez,Miguel,2021-04-02,Empleado,C000612,C,Inactivo,53609592,Fraude 3,PCO
López,Martínez,Luis,2021-09-08,Empresario,C000613,B,Suspendido,69616874,Fraude 61,BPR
López,Martínez,Juan,2023-05-02,Empresario,C000614,D,Activo,81666620,Fraude 52,BSO
Díaz,Díaz,Ana,2024-09-28,Docente,C000615,E,Inactivo,55462995,Fraude 46,BSO
Gómez,Martínez,Andrés,2021-08-19,Empleado,C000616,C,Inactivo,97827548,Fraude 95,PEF
Sánchez,González,Elena,2021-12-14,Empleado,C000617,A,Suspendido,77714591,Fraude 15,PCO
Gómez,Rodríguez,Carlos,2023-09-01,Estudiante,C000618,C,Activo,88402976,Fraude 39,VL1
Díaz,Díaz,Juan,2021-12-21,Agricultor,C000619,D,Suspendido,17207997,Fraude 83,VL1
Sánchez,Fernández,Ana,2023-08-22,Comerciante,C000620,A,Activo,87562466,Fraude 92,BPR
López,Fernández,María,2023-02-27,Independiente,C000621,B,Activo,36902495,Fraude 63,PCO
Rodríguez,Martínez,Sofía,2021-09-09,Estudiante,C000622,A,Activo,51485040,Fraude 7,BFO
Pérez,Sánchez,Elena,2021-05-09,Agricultor,C000623,E,Activo,26028077,Fraude 13,VL1
González,Pérez,Andrés,2023-09-03,Empleado,C000624,B,Inactivo,50574552,Fraude 29,PCO
Rodríguez,Gómez,Carlos,2024-01-16,Estudiante,C000625,C,Inactivo,64569923,Fraude 11,BFO
Díaz,Ramírez,Elena,2020-10-20,Empleado,C000626,D,Suspendido,17314190,Fraude 72,BSO
Fernández,González,Sofía,2022-05-17,Empleado,C000627,D,Activo,49350409,Fraude 75,BFO
Fernández,Rodríguez,Miguel,2023-06-22,Docente,C000628,B,Inactivo,67440749,Fraude 21,PCO
Díaz,Pérez,Elena,2023-08-12,Agricultor,C000629,A,Suspendido,99868251,Fraude 36,VL1
González,Sánchez,Luis,2020-06-15,Independiente,C000630,C,Inactivo,76309890,Fraude 73,VL1
Sánchez,Díaz,Miguel,2024-09-27,Comerciante,C000631,A,Inactivo,18388028,Fraude 75,PEF
Díaz,López,Sofía,2021-02-21,Independiente,C000632,A,Suspendido,64763922,Fraude 22,PEF
López,Gómez,Elena,2020-07-13,Estudiante,C000633,B,Inactivo,44596929,Fraude 46,BSO
Gómez,Fernández,Miguel,2021-01-31,Independiente,C000634,B,Inactivo,91466681,Fraude 48,VL1
Fernández,Díaz,Valeria,2022-08-13,Agricultor,C000635,C,Inactivo,64054909,Fraude 91,PCO
Martínez,Ramírez,Elena,2023-09-30,Estudiante,C000636,B,Activo,92155028,Fraude 58,BSO
Pérez,Rodríguez,Andrés,2023-05-17,Agricultor,C000637,C,Suspendido,57567937,Fraude 58,BFO
López,González,Carlos,2020-06-30,Independiente,C000638,A,Activo,92302764,Fraude 81,BFO
Díaz,Díaz,Andrés,2024-01-23,Docente,C000639,E,Activo,86228495,Fraude 13,PCO
Rodríguez,Sánchez,Elena,2023-07-27,Comerciante,C000640,C,Suspendido,20675222,Fraude 84,BSO
González,Gómez,Miguel,2020-06-29,Comerciante,C000641,E,Inactivo,84186403,Fraude 51,BFO
Sánchez,Sánchez,Valeria,2020-07-26,Agricultor,C000642,D,Inactivo,54410923,Fraude 35,PEF
Sánchez,Sánchez,Juan,2023-01-25,Estudiante,C000643,D,Activo,74814799,Fraude 19,BFO
Pérez,González,Luis,2022-02-23,Comerciante,C000644,B,Inactivo,59283026,Fraude 5,BPR
Pérez,Rodríguez,Carlos,2022-08-26,Comerciante,C000645,E,Inactivo,67478490,Fraude 15,BFO
Ramírez,Sánchez,Luis,2020-11-15,Empresario,C000646,C,Inactivo,46145874,Fraude 55,PEF
González,Díaz,Carlos,2021-10-25,Empleado,C000647,B,Suspendido,60668726,Fraude 61,BPR
Ramírez,López,Carlos,2020-11-24,Independiente,C000648,A,Inactivo,58761141,Fraude 40,PCO
Díaz,Díaz,Carlos,2021-01-15,Empresario,C000649,A,Suspendido,81493632,Fraude 51,BFO
González,Pérez,María,2022-09-15,Empresario,C000650,E,Suspendido,18687259,Fraude 39,VL1
López,González,Ana,2021-12-09,Empresario,C000651,C,Activo,86960061,Fraude 32,PEF
Fernández,González,María,2020-02-17,Empleado,C000652,B,Activo,58349398,Fraude 11,BFO
Martínez,Ramírez,Carlos,2021-05-31,Independiente,C000653,D,Activo,68143514,Fraude 77,PCO
Díaz,Fernández,Miguel,2022-09-17,Empleado,C000654,A,Suspendido,92221768,Fraude 69,BSO
González,González,Valeria,2021-09-10,Empleado,C000655,D,Inactivo,71040192,Fraude 70,VL1
López,López,Sofía,2020-03-24,Agricultor,C000656,E,Inactivo,37343528,Fraude 79,PCO
Sánchez,Rodríguez,Valeria,2020-09-28,Empleado,C000657,E,Activo,87170776,Fraude 59,BPR
Fernández,Gómez,Juan,2023-09-07,Estudiante,C000658,C,Suspendido,40257387,Fraude 8,PEF

